keyword,importance,ableton_train,flstudio_train,ableton_test,flstudio_test
ableton,0.14774885379751448,0.29350050150451357,0.008180943214629451,0.30335980452046424,0.007489417127971344
fl_studio,0.08337774061369868,0.027582748244734202,0.5340070580686558,0.024842190999796374,0.4900683816346467
fl,0.07496738344704644,0.02452357071213641,0.27277831247994866,0.022856851964976582,0.25854770433083685
live,0.025462886392489628,0.14589769307923772,0.006801411613731152,0.15336998574628385,0.007815043959622273
ableton_live_11,0.018021241915737247,0.15255767301905718,0.0003208213025344883,0.16208511504785175,0.0
playlist,0.011906887067754574,0.004613841524573721,0.1017003529034328,0.0030543677458766036,0.10126994464343862
mixer,0.011347137356709927,0.030391173520561685,0.1554379210779596,0.03339442068825087,0.15825464018235103
ableton_live_10,0.010509877910762785,0.10120361083249749,0.00048123195380173246,0.10608837304011402,0.0
ableton_live,0.010316954014676654,0.09438314944834504,0.001203079884504331,0.1008959478721238,0.0017095408661673723
beat,0.009210201776237244,0.06980942828485456,0.23243503368623677,0.06923233557320302,0.20970367958319766
track,0.00839186048553578,0.6188565697091274,0.33301251203079885,0.6243127672571778,0.366330185607294
fruity,0.0083771572263546,0.0011033099297893681,0.06608918832210459,0.0018326206475259622,0.07489417127971344
midi,0.007937726647747997,0.5150451354062187,0.2516843118383061,0.5544695581347995,0.23314881146206448
pattern,0.007604885718872416,0.01905717151454363,0.12528071863971768,0.01934432905721849,0.13318137414522957
suite,0.006950480160092806,0.10140421263791374,0.00048123195380173246,0.10914274078599064,0.0019537609899055682
11,0.0065601424362056555,0.141925777331996,0.008982996470965673,0.15159845245367543,0.007815043959622273
studio,0.0060439298475385705,0.029237713139418253,0.32354828360603144,0.03329260843005498,0.29599478997069356
roll,0.0051482253703898214,0.049013707790036776,0.06223933269169073,0.050838254259146134,0.059698252469336806
session,0.004842755503894116,0.11013039117352057,0.011068334937439845,0.11199348401547546,0.011396939107782481
20,0.004503077147449378,0.020160481444333,0.05710619185113892,0.020362451639177357,0.044773689352002606
view,0.004086391239311448,0.11013039117352057,0.01427654796278473,0.11199348401547546,0.012699446434386193
push,0.0040616065455175805,0.04332998996990973,0.0011763447759597903,0.05172062716351049,0.0019537609899055682
audio,0.0040468108504221455,0.4827482447342026,0.31520692974013476,0.4620240276929342,0.33702377075871054
sound,0.00399882138816208,0.13537278502173186,0.19971126082771895,0.1296409421027625,0.20167155106914142
device,0.003920979179758267,0.139518555667001,0.03737568174526788,0.16900834860517205,0.0325626831650928
edison,0.003837329926392472,0.0006018054162487463,0.04459416105229387,0.0010181225819588678,0.040703353956366005
channel,0.003813337312919578,0.11444332998996991,0.2340391401989092,0.11830584402362045,0.20286551611852816
vocal,0.003626166506009221,0.07181544633901706,0.16217516843118382,0.07635919364691508,0.17127971344838816
song,0.0033835838694107677,0.15045135406218657,0.23933269169072827,0.14660965180207697,0.26440898730055357
flp,0.003376050847694099,0.00010030090270812437,0.03304459416105229,0.0,0.02832953435363074
piano,0.0032671173020237553,0.06649949849548646,0.1663458453641322,0.07208307880268784,0.15467274503419082
melody,0.0031641229958510163,0.019558676028084254,0.07507218479307026,0.026674811647322338,0.0638228590035819
10,0.002937160280816394,0.08365095285857573,0.02368730617046305,0.09088440914952826,0.023445131878866817
push_2,0.002896719359972668,0.03901705115346038,0.0,0.05070250458155162,0.0
rack,0.002825917663849164,0.25005015045135404,0.13624211314297935,0.25296952419738006,0.1434928904808423
ableton_live_lite,0.0027692747486320504,0.029989969909729186,0.0003208213025344883,0.031561800040724904,0.0013025073266037122
like,0.002751459048205824,0.467703109327984,0.4738530638434392,0.4758704948075748,0.45685444480625204
drum,0.0026978948443157494,0.22647943831494483,0.14196342637151108,0.2034208918753818,0.15011396939107782
plugin,0.00268494156320015,0.14368104312938818,0.2085338466474174,0.15343107310120138,0.18267665255617063
clip,0.00263340412721408,0.11925777331995988,0.06223933269169073,0.10843005497861942,0.0615434711820254
